Operon,Length (nt),ID,Elongation Rate (nt/s),Elongation Rate err,Chisq
yhjK,1950,1654,18.3659,0.528642,406.034
rep,2022,1752,18.5263,0.517919,433.876
malK-lamB-malM,3691,1873,18.5359,0.533271,2859.42
pps,2379,836,18.5946,1.1503,530.638
puuP,1386,619,18.6237,0.974944,87.1804
rsmE-gshB,1695,1412,18.6968,0.581273,313.185
fdhF,2148,1901,18.9544,0.507951,476.93
psd-yjeP,4314,1934,18.9655,0.650636,1442.06
csdAE,1649,1338,19.1146,0.60898,286.277
rsmF,1440,911,19.2537,0.755605,239.875
smtA-mukFEB,7250,437,19.4536,0.537817,688.124
narU,1389,712,19.4561,0.867278,126.166
amn,1455,983,19.4883,0.721864,231.478
melAB,2880,1914,19.5624,0.445419,725.098
lptFG,2183,1984,19.6266,0.515576,463.662
malT,2706,1597,19.6672,0.755626,1015.72
sad,1389,735,19.7201,0.854769,131.214
cysPUWAM,4857,1179,19.8588,0.805249,872.958
ggt,1743,1609,19.8725,0.574363,353.551
murB-birA,1991,1845,19.926,0.536667,404.616
copA,2505,232,20.0656,3.17659,164.256
gmr,1986,613,20.0969,2.05507,538.333
yhgE,1725,1589,20.1514,0.587006,344.872
kup,1869,1741,20.1651,0.565491,374.564
mdoB,2292,2028,20.2042,0.554112,886.232
pykF,1413,824,20.2415,0.815081,155.487
brnQ-proY,2769,185,20.7716,4.16458,153.812
lysP,1470,1061,20.8342,0.749638,208.099
pldB-yigL,1831,1775,20.8568,0.567364,416.268
hslVU,1872,1824,20.8965,0.568604,496.429
ade,1767,1718,20.9107,0.585641,374.599
yqeB,1626,1379,20.9165,0.675036,283.902
tilS,1299,80,21.0305,15.6966,42.8149
mfd,3447,522,21.067,2.64658,540.509
recQ,1830,1772,21.3785,0.595285,393.937
yeiQ,1467,1072,21.4578,0.780155,213.496
serS,1293,424,21.618,1.1702,84.2951
nagE,1947,322,21.6357,4.85882,279.265
cpdB,1944,1955,21.7014,0.570748,490.259
typA,1824,1796,21.8524,0.604253,389.537
ygiS,1608,1447,21.9524,0.680614,323.103
puuDR,1349,621,22.0765,1.03935,122.091
eptB,1692,1663,22.0978,0.631994,360.701
ybhC,1284,361,22.1671,1.47733,64.1523
yicH,1710,1708,22.1675,0.627226,383.667
sbcB,1428,1003,22.3605,0.818197,200.998
yciK-btuR,1346,603,22.4084,1.09183,96.1061
gshA,1557,1297,22.4156,0.779144,920.469
norR,1515,1303,22.4216,0.720185,274.51
artPIQM,2869,410,22.4736,1.82573,534.483
ydjN,1392,853,22.5757,0.899362,167.255
malZ,1818,186,22.7295,9.06521,148.065
slt,1938,2041,23.1435,0.598505,483.623
treF,1650,1644,23.2847,0.668031,358.901
ycdXY,1316,489,23.3839,1.3177,66.483
yijP,1734,1837,23.7273,0.660281,456.907
yfiPQ,3391,1244,24.0092,1.29568,1110.11
yjjUV,1850,2038,24.1607,0.628203,457.347
mdtK,1374,818,24.1728,0.99025,151.752
pck,1623,1590,24.2412,0.71641,453.7
garD,1572,1505,24.2895,0.74135,311.087
